source,target,value
E_ID,E-ID-ANI,7188
E_PH,E-PH-FTCP,206
E_TH,E-TH-3M,1090
E_TH,E-TH-ATC,1587
E_TH,E-TH-DAT,245
E_TH,E-TH-IAT,1379
E_TH,E-TH-NFCT,5512
E_TH,E-TH-NMT,568
E_TH,E-TH-STNLY,1343
E_TH,E-TH-STT,877
E_TH,E-TH-TBSC,376
E_TH,E-TH-TBSO,30
E_TH,E-TH-TGAS2,32545
E_TH,E-TH-TKI,549
E_TH,E-TH-TRT,110
E_TH,E-TH-NHK2,1891
E_TH,E-TH-TCPT1,550
E_TH,E-TH-TER1,3969
E_TH,E-TH-ATC,3958
E_TH,E-TH-OTC,213
E_TH,E-TH-SAB,301
E_TH,E-TH-TCPT1,245
E_TH,E-TH-TER1,1379
E_TH,E-TH-YNP,5512
E_TH,E-TH-AAA,568
E_TH,E-TH-CCI,1343
E_TH,E-TH-DAT,877
E_TH,E-TH-DAT2,376
E_TH,E-TH-REP,30
E_TH,E-TH-SNC,32545
E_TH,E-TH-TBAFT,549
E_TH,E-TH-ATC,110
E_TH,E-TH-SGP,1891
E_TH,E-TH-YSP,550
E_TH,E-TH-TCPT1,376
E_TH,E-TH-TER1,30
E_TH,E-TH-MIT,32545
E_TH,E-TH-TBSJ,549
E_TH,E-TH-AHT,110
E_TH,E-TH-ATC,1891
E_TH,E-TH-CAP,550
E_TH,E-TH-HMMT1,8118
E_TH,E-TH-IRC,303
E_TH,E-TH-OTC,16542
E_TH,E-TH-YSP,1571
E_TH,E-TH-AST,116
E_TH,E-TH-KSP,588
E_TH,E-TH-NMT,52
E_TH,E-TH-TCPT,10
E_TH,E-TH-THB2,49
E_TH,E-TH-THC2,12
E_TH,E-TH-AHT1B,638
E_TH,E-TH-DSTH3,33736
E_TH,E-TH-NFCT,748
E_TH,E-TH-TGAS2,2617
E_TH,E-TH-TOGO,2
E_TH,E-TH-JATHJ,10645
E_TH,E-TH-ATC,3445
E_TH,E-TH-NSW1,79
E_TH,E-TH-OTC,1178
E_TH,E-TH-MATCB,19689
E_TH,E-TH-MATCO,771
E_TH,E-TH-TKC,6072
E_TH,E-TH-JBT,184
E_TH,E-TH-JBT2,219
E_TH,E-TH-0TBSM,290454
E_TH,E-TH-ATC,1691
E_TH,E-TH-DAT,70
E_TH,E-TH-SAS,14
E_TH,E-TH-TBBV,8418
E_TH,E-TH-TBJ1,2102
E_TH,E-TH-TBSC,632
E_TH,E-TH-TBSI,170
E_TH,E-TH-TBSJ,46137
E_TH,E-TH-TBSO,20908
E_TH,E-TH-TBSQ,39312
E_TH,E-TH-TBSR,90491
E_TH,E-TH-TBTM,1927
E_TH,E-TH-TBUN,10668
E_TH,E-TH-TGAS2,6792
E_TH,E-TH-TRT,10891
E_TH,E-TH-TSB,3402
E_TH,E-TH-ATC,24714
E_TH,E-TH-HMMT1,29745
E_TH,E-TH-AGC,68
E_TH,E-TH-ASIA,37
E_TH,E-TH-CHI,2602
E_TH,E-TH-NFCT,4249
E_TH,E-TH-AAA,1539
E_TH,E-TH-ATC,737
E_TH,E-TH-NFCT,314
E_TH,E-TH-YNP,161
E_TH,E-TH-YSP,357
E_TH,E-TH-ATC,589
E_TH,E-TH-CTC,6903
E_TH,E-TH-MIT,89870
E_TH,E-TH-TOGO,11
E_TH,E-TH-BKF,176
E_TH,E-TH-NMT,766
E_TH,E-TH-ATC,568
E_TH,E-TH-ITC,26
E_TH,E-TH-DAT,14
E_TH,E-TH-FAC,41
E_TH,E-TH-NFCT,659
E_TH,E-TH-SAS,357
E_TH,E-TH-STT,436
E_TH,E-TH-TBSO,77
E_TH,E-TH-TGAS2,245
E-ID-ANI,I-AR-INERG,1379
E-PH-FTCP,I-AR-PILKI,5512
E-TH-3M,I-AR-AC,568
E-TH-ATC,I-AR-AC,1343
E-TH-DAT,I-AR-AC,877
E-TH-IAT,I-AR-AC,376
E-TH-NFCT,I-AR-AC,30
E-TH-NMT,I-AR-AC,32545
E-TH-STNLY,I-AR-AC,549
E-TH-STT,I-AR-AC,110
E-TH-TBSC,I-AR-AC,1891
E-TH-TBSO,I-AR-AC,550
E-TH-TGAS2,I-AR-AC,3969
E-TH-TKI,I-AR-AC,3958
E-TH-TRT,I-AR-AC,213
E-TH-NHK2,I-AR-ALLE,301
E-TH-TCPT1,I-AR-ALLE,1189
E-TH-TER1,I-AR-ALLE,8696
E-TH-ATC,I-AR-CORDE,981
E-TH-OTC,I-AR-CORDE,95
