source,target,value
E_C1,E-CN-GOSEI,1000
E_MY,E-MY-AUTOV,191
E_MY,E-MY-APMPL,4000
E_MY,E-MY-APMPL,2400
E_MY,E-MY-NIFCO,1002
E_PH,E-PH-FTECH,22783
E_PH,E-PH-FEAP,622
E_PH,E-PH-TRP,164559
E_TH,E-TH-SAS,5570
E_TH,E-TH-0TBSM,20085
E_TH,E-TH-ATC,16262
E_TH,E-TH-ETT,108
E_TH,E-TH-MSC,557
E_TH,E-TH-SKT,709
E_TH,E-TH-TBBV,634
E_TH,E-TH-TBJ1,4139
E_TH,E-TH-TBSC,2492
E_TH,E-TH-TBSI,12
E_TH,E-TH-TBSJ,102691
E_TH,E-TH-TBSO,19943
E_TH,E-TH-TBSQ,6194
E_TH,E-TH-TBSR,261643
E_TH,E-TH-TBSS,355
E_TH,E-TH-TBTB,13
E_TH,E-TH-TBUN,939
E_TH,E-TH-TCY,209
E_TH,E-TH-TGAS2,18
E_TH,E-TH-TRT,789
E_TH,E-TH-TSB,43130
E_TH,E-TH-YFT,6
E_TH,E-TH-ATC,2
E_TH,E-TH-DSTH3,23722
E_TH,E-TH-NFCT,1639
E_TH,E-TH-NSW1,4184
E_TH,E-TH-PIOLA,51
E_TH,E-TH-SK,405
E_TH,E-TH-TGAS2,2354
E_TH,E-TH-YNP,3264
E_TH,E-TH-ATC,984
E_TH,E-TH-DAT,16
E_TH,E-TH-NSW1,450
E_TH,E-TH-MEC,304
E_TH,E-TH-TAC,1379
E_TH,E-TH-TGAS2,25738
E_TH,E-TH-ATC,7
E_TH,E-TH-DAT,42
E_TH,E-TH-DAT,2696
E_TH,E-TH-DAT2,2223
E_TH,E-TH-TRT,1072
E_TH,E-TH-MATCB,68932
E_TH,E-TH-MATCO,160
E_TH,E-TH-SAS,544
E_TH,E-TH-TKC,19878
E_TH,E-TH-CLE,140
E_TH,E-TH-YMPPD,1000
E_TH,E-TH-TCPT1,191
E_TH,E-TH-TER1,4000
E_TH,E-TH-ATC,2400
E_TH,E-TH-NFCT,1002
E_TH,E-TH-HMMT2,22783
E_TH,E-TH-TKC,622
E_TH,E-TH-ATC,164559
E_TH,E-TH-HMMT1,5570
E_TH,E-TH-JATH1,20085
E_TH,E-TH-NOK,16262
E_TH,E-TH-SCC,108
E_TH,E-TH-HTT,557
E_TH,E-TH-SAS,709
E_TH,E-TH-OILES,634
E_TH,E-TH-SGST,4139
E_TH,E-TH-SAS,2492
E_TH,E-TH-ATC,12
E_TH,E-TH-YSP,102691
E_TH,E-TH-YSP1C,19943
E_TH,E-TH-CCA,6194
E_TH,E-TH-TAP,261643
E_TH,E-TH-TKC,355
E_TH,E-TH-TKC5,13
E_TH,E-TH-TPM,939
E_TH,E-TH-UNC,209
E_TH,E-TH-DSC,18
E_TH,E-TH-TPT,789
E_TH,E-TH-ATC,43130
E_TH,E-TH-ATC,6
E_TH,E-TH-APC,2
E_TH,E-TH-MTAT,23722
E_TH,E-TH-SAMCO,1639
E_TH,E-TH-ATC,4184
E_TH,E-TH-ATC,51
E_TH,E-TH-HMMT1,405
E_TH,E-TH-JFB,2354
E_TH,E-TH-LOC,3264
E_TH,E-TH-PANA,984
E_TH,E-TH-SAB,16
E_TH,E-TH-YNP,450
E_TH,E-TH-YSP,304
E_TH,E-TH-NTS,1379
E_TH,E-TH-ATC,25738
E_TH,E-TH-DAT,7
E_TH,E-TH-DMS,42
E_TH,E-TH-FAC,2696
E_TH,E-TH-SAS,2223
E_TH,E-TH-STNLY,1072
E_TH,E-TH-SUM1,68932
E_TH,E-TH-TCY,160
E_TH,E-TH-TGAS2,544
E_TH,E-TH-TKC,19878
E_TH,E-TH-ATC,140
E_TH,E-TH-BSNCR,12193
E_TH,E-TH-ITTC,501
E_TH,E-TH-MIT,3870
E_TH,E-TH-TOGO,764
E_TH,E-TH-SGST,9675
E_TH,E-TH-ATC,37
E_TH,E-TH-SSMC,2485
E_TH,E-TH-APC,4581
E_TH,E-TH-ATC,634
E_TH,E-TH-SKT,218
E_TH,E-TH-ADVI1,16078
E_TH,E-TH-ADVI2,9278
E_TH,E-TH-ADVI3,54538
E_TH,E-TH-NFCT,1691
E_TH,E-TH-DSST,4581
E_TH,E-TH-TGAS1,634
E_TH,E-TH-TGAS2,218
E_TH,E-TH-ATC,16078
E_TH,E-TH-NFCT,9278
E_TH,E-TH-TKC,54538
E_TH,E-TH-FAST,1691
E_TH,E-TH-TRT2,1708
E_TH,E-TH-TSB2,3052
E_TH,E-TH-TSB2,47248
E_TH,E-TH-PIOLA,7
E_TH,E-TH-TPT,91
E_TH,E-TH-EH,576
E_TW,E-TW-AS,1261
E_TW,E-TW-EL,253866
E-CN-GOSEI,I-ID-JID,59778
E-MY-AUTOV,I-ID-AAA,10526
E-MY-APMPL,I-ID-IPTI,23
E-MY-APMPL,I-ID-ITG,23936
E-MY-NIFCO,I-ID-NIFCO,1221
E-PH-FTECH,I-ID-NMI,45
E-PH-FEAP,I-ID-TRI,1128
E-PH-TRP,I-ID-TRI,1000
E-TH-SAS,I-ID-AAA,191
E-TH-0TBSM,I-ID-ABA,4000
E-TH-ATC,I-ID-ABA,2400
E-TH-ETT,I-ID-ABA,1002
E-TH-MSC,I-ID-ABA,22783
E-TH-SKT,I-ID-ABA,622
E-TH-TBBV,I-ID-ABA,164559
E-TH-TBJ1,I-ID-ABA,5570
E-TH-TBSC,I-ID-ABA,20085
E-TH-TBSI,I-ID-ABA,16262
E-TH-TBSJ,I-ID-ABA,108
E-TH-TBSO,I-ID-ABA,557
E-TH-TBSQ,I-ID-ABA,709
E-TH-TBSR,I-ID-ABA,634
E-TH-TBSS,I-ID-ABA,4139
E-TH-TBTB,I-ID-ABA,2492
E-TH-TBUN,I-ID-ABA,12
E-TH-TCY,I-ID-ABA,102691
E-TH-TGAS2,I-ID-ABA,19943
E-TH-TRT,I-ID-ABA,6194
E-TH-TSB,I-ID-ABA,261643
E-TH-YFT,I-ID-ABA,355
E-TH-ATC,I-ID-AHI,13
E-TH-DSTH3,I-ID-AHI,939
E-TH-NFCT,I-ID-AHI,209
E-TH-NSW1,I-ID-AHI,18
E-TH-PIOLA,I-ID-AHI,789
E-TH-SK,I-ID-AHI,43130
E-TH-TGAS2,I-ID-AHI,6
E-TH-YNP,I-ID-AHI,2
E-TH-ATC,I-ID-AMA,23722
E-TH-DAT,I-ID-AOP,1639
E-TH-NSW1,I-ID-AOP,4184
E-TH-MEC,I-ID-AOPNM,51
E-TH-TAC,I-ID-AOPNM,405
