source,target,value
E_C1,E-CN-HOUAI,256
E_ID,E-ID-NTC,285
E_ID,E-ID-AOP,88
E_ID,E-ID-SC,44
E_ID,E-ID-SEIWA,152
E_ID,E-ID-ABA,81030
E_ID,E-ID-AHI,8461
E_ID,E-ID-ANI,847
E_MY,E-MY-NIFCO,186
E_TH,E-TH-SAS,886
E_TH,E-TH-SAS3,283
E_TH,E-TH-TEX34,96
E_TH,E-TH-ATC,36
E_TH,E-TH-IAT,52
E_TH,E-TH-TBSQ,143
E_TH,E-TH-SAS,98
E_TH,E-TH-SAS3,8
E_TH,E-TH-TEX34,4
E_TH,E-TH-ATC,223
E_TH,E-TH-YNP,94
E_TH,E-TH-TAI,127
E_TH,E-TH-NFCT,25
E_TH,E-TH-TBSQ,47
E_TH,E-TH-NFCT,385
E_TH,E-TH-NMT,432
E_TH,E-TH-AAA,17
E_TH,E-TH-AST,16
E_TH,E-TH-DAT,204
E_TH,E-TH-DAT2,434
E_TH,E-TH-NCRNT,157
E_TH,E-TH-NISEI,17
E_TH,E-TH-NOK,46
E_TH,E-TH-SNC,74
E_TH,E-TH-TGAS3,14
E_TH,E-TH-YSP,1090
E_TH,E-TH-YSP,30650
E_TH,E-TH-YSP1C,5451
E_TH,E-TH-ATC,20
E_TH,E-TH-MIT,307
E_TH,E-TH-YSP,230
E_TH,E-TH-YSP1C,337
E_TH,E-TH-0TBSM,23416
E_TH,E-TH-DAT,7
E_TH,E-TH-TACC,1087
E_TH,E-TH-TBJ1,585
E_TH,E-TH-TBSJ,1315
E_TH,E-TH-TBSK,1470
E_TH,E-TH-TBSO,4138
E_TH,E-TH-TBSQ,28800
E_TH,E-TH-TBSR,64404
E_TH,E-TH-TBZN,728
E_TH,E-TH-TSB,5183
E_TH,E-TH-TACC,1725
E_TH,E-TH-ATC,54
E_TH,E-TH-DSTH3,2972
E_TH,E-TH-NFCT,18
E_TH,E-TH-NSW1,148
E_TH,E-TH-TGAS2,332
E_TH,E-TH-TOGO,60
E-CN-HOUAI,I-PH-TBPC,256
E-ID-NTC,I-PH-FTECH,285
E-ID-AOP,I-PH-KARL,88
E-ID-SC,I-PH-MPI,44
E-ID-SEIWA,I-PH-PAC,152
E-ID-ABA,I-PH-TBPC,81030
E-ID-AHI,I-PH-VPMI,8461
E-ID-ANI,I-PH-VPMI,847
E-MY-NIFCO,I-PH-SANOH,186
E-TH-SAS,I-PH-B4,886
E-TH-SAS3,I-PH-B4,283
E-TH-TEX34,I-PH-B4,96
E-TH-ATC,I-PH-BOPI,36
E-TH-IAT,I-PH-DAIHO,52
E-TH-TBSQ,I-PH-DAIHO,143
E-TH-SAS,I-PH-EMER,98
E-TH-SAS3,I-PH-EMER,8
E-TH-TEX34,I-PH-EMER,4
E-TH-ATC,I-PH-FTECH,223
E-TH-YNP,I-PH-FTECH,94
E-TH-TAI,I-PH-KARL,127
E-TH-NFCT,I-PH-KARZ,25
E-TH-TBSQ,I-PH-MANLY,47
E-TH-NFCT,I-PH-MPI,385
E-TH-NMT,I-PH-MPI,432
E-TH-AAA,I-PH-PAC,17
E-TH-AST,I-PH-PAC,16
E-TH-DAT,I-PH-PAC,204
E-TH-DAT2,I-PH-PAC,434
E-TH-NCRNT,I-PH-PAC,157
E-TH-NISEI,I-PH-PAC,17
E-TH-NOK,I-PH-PAC,46
E-TH-SNC,I-PH-PAC,74
E-TH-TGAS3,I-PH-PAC,14
E-TH-YSP,I-PH-RGC1,1090
E-TH-YSP,I-PH-RGC2,30650
E-TH-YSP1C,I-PH-RGC2,5451
E-TH-ATC,I-PH-RMPC,20
E-TH-MIT,I-PH-SANOH,307
E-TH-YSP,I-PH-T8,230
E-TH-YSP1C,I-PH-T8,337
E-TH-0TBSM,I-PH-TBPC,23416
E-TH-DAT,I-PH-TBPC,7
E-TH-TACC,I-PH-TBPC,1087
E-TH-TBJ1,I-PH-TBPC,585
E-TH-TBSJ,I-PH-TBPC,1315
E-TH-TBSK,I-PH-TBPC,1470
E-TH-TBSO,I-PH-TBPC,4138
E-TH-TBSQ,I-PH-TBPC,28800
E-TH-TBSR,I-PH-TBPC,64404
E-TH-TBZN,I-PH-TBPC,728
E-TH-TSB,I-PH-TBPC,5183
E-TH-TACC,I-PH-TMP,1725
E-TH-ATC,I-PH-VPMI,54
E-TH-DSTH3,I-PH-VPMI,2972
E-TH-NFCT,I-PH-VPMI,18
E-TH-NSW1,I-PH-VPMI,148
E-TH-TGAS2,I-PH-VPMI,332
E-TH-TOGO,I-PH-VPMI,60
I-PH-B4,I_PH,1265
I-PH-BOPI,I_PH,36
I-PH-DAIHO,I_PH,195
I-PH-EMER,I_PH,110
I-PH-FTECH,I_PH,602
I-PH-KARL,I_PH,215
I-PH-KARZ,I_PH,25
I-PH-MANLY,I_PH,47
I-PH-MPI,I_PH,861
I-PH-PAC,I_PH,1131
I-PH-RGC1,I_PH,1090
I-PH-RGC2,I_PH,36101
I-PH-RMPC,I_PH,20
I-PH-SANOH,I_PH,493
I-PH-T8,I_PH,567
I-PH-TBPC,I_PH,212419
I-PH-TMP,I_PH,1725
I-PH-VPMI,I_PH,12892
