source,target,value
I_A0,E_C1,7
I_A0,E_TH,7
I_AR,E_TH,2
I_AR,E_ID,106
I_AR,E_PH,1
I_AU,E_TH,1
I_AU,E_PH,6
I_AU,E_TW,1
I_BE,E_C1,10
I_BR,E_TH,1
I_BR,E_ID,39
I_BR,E_TW,3
I_C1,E_TH,1
I_C1,E_ID,6
I_C2,E_TH,2
I_C3,E_TH,6
I_CZ,E_TH,1
I_EG,E_TH,1
I_GB,E_TH,47
I_I1,E_TH,2
I_I1,E_ID,55
I_I1,E_MY,1
I_I2,E_TH,12
I_I3,E_TH,6
I_ID,E_C1,2
I_ID,E_TH,6
I_ID,E_PH,1
I_ID,E_TW,1
I_ID,E_MY,47
I_MX,E_TH,1
I_MY,E_TH,6
I_MY,E_ID,2
I_MY,E_PH,6
I_MY,E_TW,1
I_PH,E_C1,1
I_PH,E_TH,47
I_PH,E_ID,2
I_PH,E_MY,55
I_PK,E_TH,1
I_PK,E_ID,12
I_TH,E_C1,6
I_TH,E_ID,2
I_TH,E_PH,6
I_TH,E_TW,1
I_TH,E_C2,1
I_TR,E_TH,47
I_TW,E_C1,2
I_TW,E_TH,57
I_TW,E_ID,7
I_TW,E_PH,6
I_US,E_TH,2
I_VE,E_TH,6
I_VE,E_ID,1
I_VE,E_AR,1
I_VN,E_TH,47
I_VN,E_ID,2
I_VN,E_PH,57
I_VN,E_TW,1
I_ZA,E_TH,47
I_ZA,E_ID,2
I_ZA,E_C2,57
