source,target,value
E_C1,E-CN-TAAC,18
E_C1,E-CN-STAC,18
E_C1,E-CN-HOUAI,715
E_C1,E-CN-INTEX,1164
E_C1,E-CN-TTAP,3
E_C1,E-CN-TTPF,788
E_C1,E-CN-STAC,538
E_TH,E-TH-TOC,186
E_TH,E-TH-TIT,3907
E_ID,E-ID-ANI,28
E_PH,E-PH-FTCP,7188
E_TH,E-TH-3M,206
E_TH,E-TH-ATC,1090
E_TH,E-TH-DAT,1587
E_TH,E-TH-IAT,245
E_TH,E-TH-NFCT,1379
E_TH,E-TH-NMT,5512
E_TH,E-TH-STNLY,568
E_TH,E-TH-STT,1343
E_TH,E-TH-TBSC,877
E_TH,E-TH-TBSO,28
E_TH,E-TH-TGAS2,7188
E_TH,E-TH-TKI,206
E_TH,E-TH-TRT,1090
E_TH,E-TH-NHK2,1587
E_TH,E-TH-TCPT1,245
E_TH,E-TH-TER1,1379
E_TH,E-TH-ATC,5512
E_TH,E-TH-OTC,568
E_TH,E-TH-SAB,1343
E_TH,E-TH-TCPT1,1189
E_TH,E-TH-TER1,8696
E_TH,E-TH-YNP,28
E_TH,E-TH-AAA,7188
E_TH,E-TH-CCI,206
E_TH,E-TH-DAT,1090
E_TH,E-TH-DAT2,1587
E_TH,E-TH-REP,245
E_TH,E-TH-SNC,1379
E_TH,E-TH-TBAFT,5512
E_TH,E-TH-ATC,568
E_TH,E-TH-SGP,1189
E_TH,E-TH-YSP,8696
E_TH,E-TH-TCPT1,28
E_TH,E-TH-TER1,7188
E_TH,E-TH-MIT,206
E_TH,E-TH-TBSJ,1090
E_TH,E-TH-AHT,206
E_TH,E-TH-ATC,1090
E_TH,E-TH-CAP,1587
E_TH,E-TH-HMMT1,245
E_TH,E-TH-IRC,6320
E_TH,E-TH-OTC,8118
E_TH,E-TH-YSP,303
E_TH,E-TH-AST,16542
E_TH,E-TH-KSP,1571
E_TH,E-TH-NMT,116
E_TH,E-TH-TCPT,588
E_TH,E-TH-THB2,52
E_TH,E-TH-THC2,33736
E_TH,E-TH-AHT1B,748
E_TH,E-TH-DSTH3,2617
E_TH,E-TH-NFCT,2
E_TH,E-TH-TGAS2,10645
E_TH,E-TH-TOGO,3445
E_TH,E-TH-JATHJ,79
E_TH,E-TH-ATC,1178
E_TH,E-TH-NSW1,19689
E_TH,E-TH-OTC,79
E_TH,E-TH-MATCB,1178
E_TH,E-TH-MATCO,19689
E_TH,E-TH-TKC,771
E_TH,E-TH-JBT,19689
E_TH,E-TH-JBT2,771
E_TH,E-TH-0TBSM,6072
E_TH,E-TH-ATC,184
E_TH,E-TH-DAT,219
E_TH,E-TH-SAS,290454
E_TH,E-TH-TBBV,1691
E_TH,E-TH-TBJ1,771
E_TH,E-TH-TBSC,19689
E_TH,E-TH-TBSI,771
E_TH,E-TH-TBSJ,6072
E_TH,E-TH-TBSO,184
E_TH,E-TH-TBSQ,219
E_TH,E-TH-TBSR,290454
E_TH,E-TH-TBTM,1691
E_TH,E-TH-TBUN,10668
E_TH,E-TH-TGAS2,6792
E_TH,E-TH-TRT,10891
E_TH,E-TH-TSB,3402
E_TH,E-TH-ATC,24714
E_TH,E-TH-HMMT1,10891
E_TH,E-TH-AGC,3402
E_TH,E-TH-ASIA,24714
E_TH,E-TH-CHI,29745
E_TH,E-TH-NFCT,68
E_TH,E-TH-AAA,37
E_TH,E-TH-ATC,2602
E_TH,E-TH-NFCT,4249
E_TH,E-TH-YNP,1539
E_TH,E-TH-YSP,737
E_TH,E-TH-ATC,314
E_TH,E-TH-CTC,6903
E_TH,E-TH-MIT,89870
E_TH,E-TH-TOGO,314
E_TH,E-TH-BKF,6903
E_TH,E-TH-NMT,89870
E_TH,E-TH-ATC,11
E_TH,E-TH-ITC,176
E_TH,E-TH-DAT,766
