source,target,value
E-CN-TAAC,I-JP-AI,18
E-CN-STAC,I-JP-SMK,715
E-CN-HOUAI,I-JP-TBJ,1164
E-CN-INTEX,I-JP-TBJ,3
E-CN-TTAP,I-JP-TMC,788
E-CN-TTPF,I-JP-TSUDA,538
E-CN-STAC,I-JP-USSMK,186
E-TH-TOC,I-JP-CKC,3907
E-TH-TIT,I-JP-NSSH,28
E-ID-ANI,I-AR-INERG,7188
E-PH-FTCP,I-AR-PILKI,206
E-TH-3M,I-AR-AC,18
E-TH-ATC,I-AR-AC,715
E-TH-DAT,I-AR-AC,1164
E-TH-IAT,I-AR-AC,3
E-TH-NFCT,I-AR-AC,788
E-TH-NMT,I-AR-AC,538
E-TH-STNLY,I-AR-AC,186
E-TH-STT,I-AR-AC,3907
E-TH-TBSC,I-AR-AC,28
E-TH-TBSO,I-AR-AC,7188
E-TH-TGAS2,I-AR-AC,206
E-TH-TKI,I-AR-AC,1090
E-TH-TRT,I-AR-AC,1587
E-TH-NHK2,I-AR-ALLE,245
E-TH-TCPT1,I-AR-ALLE,1379
E-TH-TER1,I-AR-ALLE,5512
E-TH-ATC,I-AR-CORDE,568
E-TH-OTC,I-AR-CORDE,1343
E-TH-SAB,I-AR-CORDE,877
E-TH-TCPT1,I-AR-CORDE,376
E-TH-TER1,I-AR-CORDE,30
E-TH-YNP,I-AR-CORDE,32545
E-TH-AAA,I-AR-DENSO,549
E-TH-CCI,I-AR-DENSO,110
E-TH-DAT,I-AR-DENSO,1891
E-TH-DAT2,I-AR-DENSO,550
E-TH-REP,I-AR-DENSO,3969
E-TH-SNC,I-AR-DENSO,3958
E-TH-TBAFT,I-AR-DENSO,213
E-TH-ATC,I-AR-EMCON,301
E-TH-SGP,I-AR-EMCON,1189
E-TH-YSP,I-AR-EMCON,8696
E-TH-TCPT1,I-AR-FRIC,981
E-TH-TER1,I-AR-FRIC,95
E-TH-MIT,I-AR-GPPD,535
E-TH-TBSJ,I-AR-GPPD,1677
