ETA,EXP_REGION_CODE,IMP_REGION_CODE,EXP_INVOICE_CURRENCY,EXP_PRICE,MID_INVOICE_CURRENCY,MID_PRICE,M3,CNT
2013/12/30,TH,VE,THB,25345.93,USD,868.29,41.889,188
2013/12/23,C1,BR,THB,156.25,USD,4.574,3.1,2
2013/12/17,C1,A0,USD,0.163,,,0.043,3
2013/12/16,ID,BR,USD,68.318,USD,70.664,56.298,9
2013/12/16,C1,BR,THB,7603.34,USD,243.478,14.289,76
2013/12/12,AR,VE,USD,930.88,USD,930.88,35.968,18
2013/12/12,TH,AR,THB,25345.93,USD,868.29,41.889,188
2013/12/12,TH,BR,THB,156.25,USD,4.574,3.1,2
2013/12/11,TH,MX,THB,0.163,,,0.043,3
2013/12/9,TH,BR,THB,68.318,USD,70.664,56.298,9
2013/12/6,TH,BR,THB,7603.34,USD,243.478,14.289,76
2013/12/5,ID,AR,USD,930.88,USD,930.88,35.968,18
2013/12/5,C1,AR,THB,66079.39,USD,2235.95,255.85,466
2013/12/5,TH,AU,THB,733.71,USD,9.476,31.44,1
2013/12/5,TH,AU,THB,16.73,USD,0.599,0.72,2
2013/12/4,TH,MX,THB,5470.83,USD,184.871,34.004,50
2013/12/2,TH,BR,THB,221.69,USD,8.035,11.52,1
2013/12/2,C1,I2,THB,7.2,USD,7.5,1.992,3
2013/12/1,ID,ZA,USD,51960.02,USD,1762.63,249.861,411
2013/12/1,C1,ZA,THB,18333,AUD,612.42,9.642,16
2013/12/1,C1,ZA,THB,9118.14,USD,311.47,28.97,38
2013/11/30,C1,BE,EUR,8.293,USD,0.311,1.92,1
2013/11/29,ID,C1,USD,3679.14,USD,124.316,13.955,47
2013/11/29,ID,ZA,USD,412.69,USD,13.746,0.67,5
2013/11/29,C1,ZA,THB,104.73,USD,106.429,16.493,18
2013/11/29,C1,ZA,THB,35784.83,THB,36471.65,60.762,179
2013/11/28,AR,VE,USD,26131.18,USD,868.39,95.655,273
2013/11/28,C1,AR,THB,4.28,,,9.34,8
2013/11/28,C1,AU,THB,2.347,USD,2.566,0.924,2
2013/11/28,C1,AU,THB,174.3,USD,176.712,37.862,10
2013/11/28,C1,ZA,THB,37992.72,THB,38720.02,104.726,199
2013/11/27,C1,AR,THB,15527.13,USD,516.028,56.994,127
2013/11/27,C1,MX,THB,2069.84,USD,2069.84,298.538,258
2013/11/26,C1,PK,THB,51181.02,USD,1736.31,210.591,402
2013/11/25,C1,ID,USD,9166.5,AUD,306.21,12.783,8
2013/11/25,C1,BR,THB,18087.47,USD,617.9,67.089,64
2013/11/24,C1,ZA,THB,781.64,USD,25.983,34.56,1
2013/11/24,C1,ZA,THB,125.21,USD,4.17,12.96,1
